concept_id,retired,short_name,description,form_text,datatype_id,class_id,is_set,creator,date_created,version,changed_by,date_changed,retired_by,date_retired,retire_reason,uuid

1,0,'','',NULL,4,4,0,1,'2004-01-0100:00:00','',1,'2005-02-1600:13:08',NULL,NULL,NULL,'be3650b4-1691-11df-97a5-7038c432aabf'

2,0,'','',NULL,4,4,0,1,'2004-01-0100:00:00','',1,'2005-03-0317:51:12',NULL,NULL,NULL,'be36d8a4-1691-11df-97a5-7038c432aabf'

3,0,'','',NULL,4,4,0,1,'2004-01-0100:00:00','',1,'2005-05-1211:06:58',NULL,NULL,NULL,'be36dcb7-1691-11df-97a5-7038c432aabf'

4,0,'','',NULL,4,4,0,1,'2004-01-0100:00:00','',1,'2005-02-1600:16:48',NULL,NULL,NULL,'be36e04b-1691-11df-97a5-7038c432aabf'

5,0,'','',NULL,4,4,0,1,'2004-01-0100:00:00','',1,'2005-02-1600:19:20',NULL,NULL,NULL,'be36e3de-1691-11df-97a5-7038c432aabf'

6,1,'','',NULL,4,3,0,1,'2004-01-0100:00:00','',1,'2005-02-1721:21:09',NULL,NULL,NULL,'be36e76d-1691-11df-97a5-7038c432aabf'

7,0,'','',NULL,4,4,0,1,'2004-01-0100:00:00','',1,'2005-02-1600:20:12',NULL,NULL,NULL,'be36eafc-1691-11df-97a5-7038c432aabf'

8,0,'','',NULL,4,4,0,1,'2004-01-0100:00:00','',1,'2005-02-1600:20:33',NULL,NULL,NULL,'be36ee83-1691-11df-97a5-7038c432aabf'

9,1,'','',NULL,1,1,0,1,'2004-01-0100:00:00','',1,'2005-02-1211:32:33',NULL,NULL,NULL,'be36f1f4-1691-11df-97a5-7038c432aabf'

10,0,'','',NULL,4,4,0,1,'2004-01-0100:00:00','',1,'2005-02-1404:40:19',NULL,NULL,NULL,'be36f583-1691-11df-97a5-7038c432aabf'

11,0,'','',NULL,4,4,0,1,'2004-01-0100:00:00','',1,'2005-02-1600:21:15',NULL,NULL,NULL,'be36f938-1691-11df-97a5-7038c432aabf'

