concept_class_id,name,description,creator,date_created,retired,retired_by,date_retired,retire_reason,uuid

1,'Test','Acq.duringpatientencount

vitals,labs,etc.)',1,'2004-02-0200:00:00',0,NULL,NULL,NULL,'8d4907b2-c2cc-11de-8d13-0010c6dffd0f'

2,'Procedure','Describesaclinicalprocedure',1,'2004-03-0200:00:00',0,NULL,NULL,NULL,'8d490bf4-c2cc-11de-8d13-0010c6dffd0f'

3,'Drug','Drug',1,'2004-02-0200:00:00',0,NULL,NULL,NULL,'8d490dfc-c2cc-11de-8d13-0010c6dffd0f'

4,'Diagnosis','Conclusiondrawnthroughfindings',1,'2004-02-0200:00:00',0,NULL,NULL,NULL,'8d4918b0-c2cc-11de-8d13-0010c6dffd0f'

5,'Finding','Practitionerobservation/finding',1,'2004-03-0200:00:00',0,NULL,NULL,NULL,'8d491a9a-c2cc-11de-8d13-0010c6dffd0f'

6,'Anatomy','Anatomicsites/descriptors',1,'2004-03-0200:00:00',0,NULL,NULL,NULL,'8d491c7a-c2cc-11de-8d13-0010c6dffd0f'

7,'Question','Questi

eg,patienthistory,SF36items)',1,'2004-03-0200:00:00',0,NULL,NULL,NULL,'8d491e50-c2cc-11de-8d13-0010c6dffd0f'

8,'LabSet','Termtodescribelaboratorysets',1,'2004-03-0200:00:00',0,NULL,NULL,NULL,'8d492026-c2cc-11de-8d13-0010c6dffd0f'

9,'MedSet','Termtodescribemedicationsets',1,'2004-02-0200:00:00',0,NULL,NULL,NULL,'8d4923b4-c2cc-11de-8d13-0010c6dffd0f'

10,'ConvSet','Termtodescribeconveniencesets',1,'2004-03-0200:00:00',0,NULL,NULL,NULL,'8d492594-c2cc-11de-8d13-0010c6dffd0f'

11,'Misc','Termswhichdon\'tfitothercategories',1,'2004-03-0200:00:00',0,NULL,NULL,NULL,'8d492774-c2cc-11de-8d13-0010c6dffd0f'

12,'Symptom','Patient-reportedobservation',1,'2004-10-0400:00:00',0,NULL,NULL,NULL,'8d492954-c2cc-11de-8d13-0010c6dffd0f'

13,'Symptom/Finding','Observationthatcanbereportedfrompatientorfoundonexam',1,'2004-10-0400:00:00',0,NULL,NULL,NULL,'8d492b2a-c2cc-11de-8d13-0010c6dffd0f'

14,'Specimen','Bodyorfluidspecimen',1,'2004-12-0200:00:00',0,NULL,NULL,NULL,'8d492d0a-c2cc-11de-8d13-0010c6dffd0f'

15,'MiscOrder','Orderableitemswhicharen\'ttestsordrugs',1,'2005-02-1700:00:00',0,NULL,NULL,NULL,'8d492ee0-c2cc-11de-8d13-0010c6dffd0f'

16,'Frequency','Aclassfororderfrequencies',1,'2014-03-0600:00:00',0,NULL,NULL,NULL,'8e071bfe-520c-44c0-a89b-538e9129b42a'
