concept_id,name,locale,creator,date_created,concept_name_id,voided,voided_by,date_voided,void_reason,uuid,concept_name_type,locale_preferred

1,'ANEMIA,BLOODLOSS','en',1,'2004-01-0100:00:00',1,0,NULL,NULL,NULL,'beb10e7a-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

2,'ANEMIA,HEMOLYSIS','en',1,'2004-01-0100:00:00',2,0,NULL,NULL,NULL,'beb114b1-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

3,'ANEMIA','en',1,'2004-01-0100:00:00',3,0,NULL,NULL,NULL,'beb1165c-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

4,'ASTHMAEXACERBATION','en',1,'2004-01-0100:00:00',4,0,NULL,NULL,NULL,'beb117fb-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

5,'ASTHMA','en',1,'2004-01-0100:00:00',5,0,NULL,NULL,NULL,'beb1199a-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

6,'BCG','en',1,'2004-01-0100:00:00',6,0,NULL,NULL,NULL,'beb11b3d-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

7,'GALLSTONES','en',1,'2004-01-0100:00:00',7,0,NULL,NULL,NULL,'beb11cd8-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

8,'BILIARYTRACTDISEASENOTOTHERWISESPECIFIED','en',1,'2004-01-0100:00:00',8,0,NULL,NULL,NULL,'beb11e77-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

9,'BLOODSUGAR','en',1,'2004-01-0100:00:00',9,0,NULL,NULL,NULL,'beb12012-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

10,'BRONCHITIS,ACUTE','en',1,'2004-01-0100:00:00',10,0,NULL,NULL,NULL,'beb121a8-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

11,'BRONCHITIS,RECURRENT','en',1,'2004-01-0100:00:00',11,0,NULL,NULL,NULL,'beb12342-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

12,'X-RAY,CHEST','en',1,'2004-01-0100:00:00',12,0,NULL,NULL,NULL,'beb12abf-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

13,'PILLS','en',1,'2004-01-0100:00:00',13,0,NULL,NULL,NULL,'beb12bcc-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

14,'DIARRHEA,AMOEBIASIS','en',1,'2004-04-0200:00:00',14,0,NULL,NULL,NULL,'beb12cc9-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

15,'DIARRHEA,CHOLERA','en',1,'2004-04-0200:00:00',15,0,NULL,NULL,NULL,'beb12dc9-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

16,'DIARRHEA','en',1,'2004-01-0100:00:00',16,0,NULL,NULL,NULL,'beb12eca-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

17,'DIPTHERIATETANUSBOOSTER','en',1,'2004-01-0100:00:00',17,0,NULL,NULL,NULL,'beb12fca-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

18,'DPTVACCINATION','en',1,'2004-01-0100:00:00',18,0,NULL,NULL,NULL,'beb130cb-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

19,'DPTVACCINATIONNO.2','en',1,'2004-01-0100:00:00',19,0,NULL,NULL,NULL,'beb131c7-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

20,'DPTVACCINATIONNO.3','en',1,'2004-01-0100:00:00',20,0,NULL,NULL,NULL,'beb133ab-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

21,'HEMOGLOBIN','en',1,'2004-01-0100:00:00',21,0,NULL,NULL,NULL,'beb134c5-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

22,'HEPATITISAVACCINATION','en',1,'2004-01-0100:00:00',22,0,NULL,NULL,NULL,'beb135ce-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

23,'HEPATITISBVACCINATION','en',1,'2004-01-0100:00:00',23,0,NULL,NULL,NULL,'beb136e4-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

24,'HEPATITISBVAXNO.2','en',1,'2004-01-0100:00:00',24,0,NULL,NULL,NULL,'beb137ed-1691-11df-97a5-7038c432aabf','FULLY_SPECIFIED',0

