concept_set_id,concept_id,concept_set,sort_weight,creator,date_created,uuid

1,21,1019,1,1,'2005-12-1513:26:49','bf01cd59-1691-11df-97a5-7038c432aabf'

2,29,1202,3,1,'2005-12-1513:26:49','bf01d038-1691-11df-97a5-7038c432aabf'

3,36,1197,4,1,'2005-12-1513:26:49','bf01d1be-1691-11df-97a5-7038c432aabf'

4,42,1222,10,1,'2005-12-1513:26:49','bf01d343-1691-11df-97a5-7038c432aabf'

5,91,1195,7,1,'2005-12-1513:26:49','bf01d4b7-1691-11df-97a5-7038c432aabf'

6,92,1157,1,1,'2005-12-1513:26:49','bf01d62b-1691-11df-97a5-7038c432aabf'

7,95,5839,2,1,'2005-12-1513:26:49','bf01d7a8-1691-11df-97a5-7038c432aabf'

8,96,5839,3,1,'2005-12-1513:26:49','bf01d918-1691-11df-97a5-7038c432aabf'

9,97,5839,4,1,'2005-12-1513:26:49','bf01da83-1691-11df-97a5-7038c432aabf'

10,98,5839,1,1,'2005-12-1513:26:49','bf01dbf7-1691-11df-97a5-7038c432aabf'

11,109,79,9,1,'2005-12-1513:26:49','bf01dd63-1691-11df-97a5-7038c432aabf'

12,110,79,6,1,'2005-12-1513:26:49','bf01ded3-1691-11df-97a5-7038c432aabf'

13,114,71,2,1,'2005-12-1513:26:49','bf01e043-1691-11df-97a5-7038c432aabf'

14,114,1221,8,1,'2005-12-1513:26:49','bf01e1ae-1691-11df-97a5-7038c432aabf'

15,119,79,3,1,'2005-12-1513:26:49','bf01e31e-1691-11df-97a5-7038c432aabf'

16,119,1201,1,1,'2005-12-1513:26:49','bf01e496-1691-11df-97a5-7038c432aabf'

17,119,1221,1,1,'2005-12-1513:26:49','bf01e602-1691-11df-97a5-7038c432aabf'

18,120,79,4,1,'2005-12-1513:26:49','bf01e76e-1691-11df-97a5-7038c432aabf'

19,126,78,2,1,'2005-12-1513:26:49','bf01e8e6-1691-11df-97a5-7038c432aabf'

20,128,79,8,1,'2005-12-1513:26:49','bf026191-1691-11df-97a5-7038c432aabf'

21,131,78,1,1,'2005-12-1513:26:49','bf0263d6-1691-11df-97a5-7038c432aabf'

22,134,79,2,1,'2005-12-1513:26:49','bf02655c-1691-11df-97a5-7038c432aabf'

23,135,79,1,1,'2005-12-1513:26:49','bf0266d4-1691-11df-97a5-7038c432aabf'

