encounter_provider_id,encounter_id,provider_id,encounter_role_id,creator,date_created,changed_by,date_changed,voided,date_voided,voided_by,void_reason,uuid

9740,30634,1,1,1,'2006-05-2213:03:53',NULL,NULL,0,NULL,NULL,NULL,'bfab72ad-1691-11df-97a5-7038c432aabf'

9741,30636,1,1,1,'2006-05-2213:06:25',NULL,NULL,0,NULL,NULL,NULL,'bfab73dd-1691-11df-97a5-7038c432aabf'

9742,30637,1,1,1,'2006-05-2213:39:25',NULL,NULL,0,NULL,NULL,NULL,'bfab75b3-1691-11df-97a5-7038c432aabf'

9743,30639,1,1,1,'2006-05-2213:41:57',NULL,NULL,0,NULL,NULL,NULL,'bfab76eb-1691-11df-97a5-7038c432aabf'

9744,30640,1,1,1,'2006-05-2213:42:11',NULL,NULL,0,NULL,NULL,NULL,'bfab7817-1691-11df-97a5-7038c432aabf'

9745,30643,1,1,1,'2006-05-2213:44:24',NULL,NULL,0,NULL,NULL,NULL,'bfab794b-1691-11df-97a5-7038c432aabf'

9746,30644,1,1,1,'2006-05-2213:46:03',NULL,NULL,0,NULL,NULL,NULL,'bfab7a76-1691-11df-97a5-7038c432aabf'

9747,30645,1,1,1,'2006-05-2213:48:07',NULL,NULL,0,NULL,NULL,NULL,'bfab7b9d-1691-11df-97a5-7038c432aabf'

9748,30650,1,1,1,'2006-05-2213:52:39',NULL,NULL,0,NULL,NULL,NULL,'bfab7ccd-1691-11df-97a5-7038c432aabf'

9749,30652,1,1,1,'2006-05-2213:56:55',NULL,NULL,0,NULL,NULL,NULL,'bfab7df8-1691-11df-97a5-7038c432aabf'

9750,30654,1,1,1,'2006-05-2213:46:40',NULL,NULL,0,NULL,NULL,NULL,'bfab7f2c-1691-11df-97a5-7038c432aabf'

9751,30656,1,1,1,'2006-05-2213:59:01',NULL,NULL,0,NULL,NULL,NULL,'bfab8058-1691-11df-97a5-7038c432aabf'

9752,30658,1,1,1,'2006-05-2214:00:34',NULL,NULL,0,NULL,NULL,NULL,'bfab8187-1691-11df-97a5-7038c432aabf'

9753,30661,1,1,1,'2006-05-2214:04:08',NULL,NULL,0,NULL,NULL,NULL,'bfab82b7-1691-11df-97a5-7038c432aabf'

9754,30662,1,1,1,'2006-05-2214:01:59',NULL,NULL,0,NULL,NULL,NULL,'bfab83eb-1691-11df-97a5-7038c432aabf'

9755,30667,1,1,1,'2006-05-2214:04:26',NULL,NULL,0,NULL,NULL,NULL,'bfab851b-1691-11df-97a5-7038c432aabf'

9756,30670,1,1,1,'2006-05-2214:11:01',NULL,NULL,0,NULL,NULL,NULL,'bfab864b-1691-11df-97a5-7038c432aabf'

9757,30672,1,1,1,'2006-05-2214:11:31',NULL,NULL,0,NULL,NULL,NULL,'bfab892e-1691-11df-97a5-7038c432aabf'

9758,30674,1,1,1,'2006-05-2214:11:27',NULL,NULL,0,NULL,NULL,NULL,'bfab8a7c-1691-11df-97a5-7038c432aabf'

9759,30675,1,1,1,'2006-05-2214:10:45',NULL,NULL,0,NULL,NULL,NULL,'bfab8b9f-1691-11df-97a5-7038c432aabf'

9760,30677,1,1,1,'2006-05-2214:13:02',NULL,NULL,0,NULL,NULL,NULL,'bfab8cb5-1691-11df-97a5-7038c432aabf'

9761,30683,1,1,1,'2006-05-2214:15:20',NULL,NULL,0,NULL,NULL,NULL,'bfab8dcf-1691-11df-97a5-7038c432aabf'

9762,30684,1,1,1,'2006-05-2214:15:44',NULL,NULL,0,NULL,NULL,NULL,'bfab8eea-1691-11df-97a5-7038c432aabf'

9763,30685,1,1,1,'2006-05-2214:15:39',NULL,NULL,0,NULL,NULL,NULL,'bfab9004-1691-11df-97a5-7038c432aabf'

9764,30686,1,1,1,'2006-05-2214:14:48',NULL,NULL,0,NULL,NULL,NULL,'bfab9122-1691-11df-97a5-7038c432aabf'

9765,30697,1,1,1,'2006-05-2214:21:07',NULL,NULL,0,NULL,NULL,NULL,'bfab9238-1691-11df-97a5-7038c432aabf'

9766,30698,1,1,1,'2006-05-2214:20:49',NULL,NULL,0,NULL,NULL,NULL,'bfab9353-1691-11df-97a5-7038c432aabf'

9767,30699,1,1,1,'2006-05-2214:21:21',NULL,NULL,0,NULL,NULL,NULL,'bfab9465-1691-11df-97a5-7038c432aabf'

9768,30705,1,1,1,'2006-05-2214:22:19',NULL,NULL,0,NULL,NULL,NULL,'bfaba399-1691-11df-97a5-7038c432aabf'

9769,30707,1,1,1,'2006-05-2214:24:11',NULL,NULL,0,NULL,NULL,NULL,'bfaba4e2-1691-11df-97a5-7038c432aabf'

9770,30709,1,1,1,'2006-05-2214:24:55',NULL,NULL,0,NULL,NULL,NULL,'bfaba60e-1691-11df-97a5-7038c432aabf'

9771,30710,1,1,1,'2006-05-2214:22:54',NULL,NULL,0,NULL,NULL,NULL,'bfaba728-1691-11df-97a5-7038c432aabf'

9772,30711,1,1,1,'2006-05-2214:25:20',NULL,NULL,0,NULL,NULL,NULL,'bfaba83e-1691-11df-97a5-7038c432aabf'

9773,30719,1,1,1,'2006-05-2214:27:52',NULL,NULL,0,NULL,NULL,NULL,'bfabac89-1691-11df-97a5-7038c432aabf'

9774,30723,1,1,1,'2006-05-2214:26:45',NULL,NULL,0,NULL,NULL,NULL,'bfabae71-1691-11df-97a5-7038c432aabf'

9775,30725,1,1,1,'2006-05-2214:29:50',NULL,NULL,0,NULL,NULL,NULL,'bfabbf2f-1691-11df-97a5-7038c432aabf'

9776,30726,1,1,1,'2006-05-2214:29:46',NULL,NULL,0,NULL,NULL,NULL,'bfabc109-1691-11df-97a5-7038c432aabf'

9777,30733,1,1,1,'2006-05-2214:32:07',NULL,NULL,0,NULL,NULL,NULL,'bfabc2b9-1691-11df-97a5-7038c432aabf'

9778,30735,1,1,1,'2006-05-2214:31:22',NULL,NULL,0,NULL,NULL,NULL,'bfabc5f7-1691-11df-97a5-7038c432aabf'

9779,30736,1,1,1,'2006-05-2214:32:29',NULL,NULL,0,NULL,NULL,NULL,'bfabd3ef-1691-11df-97a5-7038c432aabf'

9780,30739,1,1,1,'2006-05-2214:33:10',NULL,NULL,0,NULL,NULL,NULL,'bfabd5a8-1691-11df-97a5-7038c432aabf'

9781,30743,1,1,1,'2006-05-2214:35:06',NULL,NULL,0,NULL,NULL,NULL,'bfabd944-1691-11df-97a5-7038c432aabf'

